player_1_score,player_2_score,player_1_moves,player_2_moves,total_moves,n_start_marbles,n_cups,player_1_result,player_2_result,first_move,player_one_strategy,player_two_strategy,game_run_time,depth
14,34,27,72,99,4,6,lose,win,4,min_max,max_score,0.07697582244873047,0.0
14,34,29,72,101,4,6,lose,win,3,min_max,max_score,0.015329599380493164,0.0
15,33,29,62,91,4,6,lose,win,3,min_max,max_score,0.015533208847045898,0.0
20,28,30,58,88,4,6,lose,win,2,min_max,max_score,0.009975671768188477,0.0
23,25,64,66,130,4,6,lose,win,2,min_max,max_score,0.007185459136962891,0.0
26,22,28,43,71,4,6,win,lose,3,min_max,max_score,0.008294343948364258,0.0
16,32,32,72,104,4,6,lose,win,5,min_max,max_score,0.011073589324951172,0.0
17,31,33,61,94,4,6,lose,win,2,min_max,max_score,0.015781641006469727,0.0
12,36,36,66,102,4,6,lose,win,4,min_max,max_score,0.07907605171203613,0.0
18,30,38,61,99,4,6,lose,win,6,min_max,max_score,0.013250112533569336,0.0
17,31,34,73,107,4,6,lose,win,2,min_max,max_score,0.011079788208007812,0.0
14,34,37,59,96,4,6,lose,win,1,min_max,max_score,0.07813072204589844,0.0
22,26,48,56,104,4,6,lose,win,2,min_max,max_score,0.005816459655761719,0.0
14,34,32,57,89,4,6,lose,win,4,min_max,max_score,0.07875943183898926,0.0
32,16,45,23,68,4,6,win,lose,1,min_max,max_score,0.004873752593994141,0.0
17,31,39,56,95,4,6,lose,win,2,min_max,max_score,0.011227846145629883,0.0
21,27,59,54,113,4,6,lose,win,1,min_max,max_score,0.009374856948852539,0.0
14,34,33,77,110,4,6,lose,win,4,min_max,max_score,0.0811927318572998,0.0
17,31,30,57,87,4,6,lose,win,4,min_max,max_score,0.0848848819732666,0.0
24,24,48,54,102,4,6,draw,draw,5,min_max,max_score,0.0081939697265625,0.0
15,33,30,63,93,4,6,lose,win,5,min_max,max_score,0.06971526145935059,0.0
23,25,49,54,103,4,6,lose,win,3,min_max,max_score,0.008940458297729492,0.0
14,34,40,55,95,4,6,lose,win,2,min_max,max_score,0.015039205551147461,0.0
16,32,43,57,100,4,6,lose,win,3,min_max,max_score,0.010278701782226562,0.0
17,31,21,60,81,4,6,lose,win,4,min_max,max_score,0.0966954231262207,0.0
19,29,58,69,127,4,6,lose,win,2,min_max,max_score,0.00942230224609375,0.0
19,29,39,72,111,4,6,lose,win,5,min_max,max_score,0.00535273551940918,0.0
15,33,43,53,96,4,6,lose,win,2,min_max,max_score,0.011728525161743164,0.0
12,36,29,83,112,4,6,lose,win,6,min_max,max_score,0.026096105575561523,0.0
20,28,50,59,109,4,6,lose,win,1,min_max,max_score,0.011841773986816406,0.0
18,30,44,54,98,4,6,lose,win,5,min_max,max_score,0.02406787872314453,0.0
15,33,46,80,126,4,6,lose,win,6,min_max,max_score,0.00954294204711914,0.0
23,25,67,59,126,4,6,lose,win,2,min_max,max_score,0.011194705963134766,0.0
17,31,41,77,118,4,6,lose,win,2,min_max,max_score,0.009809255599975586,0.0
16,32,36,70,106,4,6,lose,win,3,min_max,max_score,0.009123086929321289,0.0
12,36,25,77,102,4,6,lose,win,4,min_max,max_score,0.07895040512084961,0.0
23,25,54,52,106,4,6,lose,win,2,min_max,max_score,0.012090682983398438,0.0
14,34,35,72,107,4,6,lose,win,4,min_max,max_score,0.08218240737915039,0.0
21,27,59,55,114,4,6,lose,win,1,min_max,max_score,0.011173486709594727,0.0
24,24,58,39,97,4,6,draw,draw,2,min_max,max_score,0.004937171936035156,0.0
19,29,41,60,101,4,6,lose,win,3,min_max,max_score,0.007884025573730469,0.0
16,32,26,71,97,4,6,lose,win,6,min_max,max_score,0.03543901443481445,0.0
16,32,37,74,111,4,6,lose,win,2,min_max,max_score,0.011599302291870117,0.0
24,24,27,42,69,4,6,draw,draw,6,min_max,max_score,0.008730888366699219,0.0
19,29,52,64,116,4,6,lose,win,3,min_max,max_score,0.00610661506652832,0.0
21,27,56,52,108,4,6,lose,win,5,min_max,max_score,0.0071332454681396484,0.0
18,30,44,68,112,4,6,lose,win,1,min_max,max_score,0.014066219329833984,0.0
12,36,30,75,105,4,6,lose,win,5,min_max,max_score,0.11008644104003906,0.0
19,29,42,48,90,4,6,lose,win,1,min_max,max_score,0.009771347045898438,0.0
20,28,45,50,95,4,6,lose,win,3,min_max,max_score,0.017045974731445312,0.0
19,29,35,54,89,4,6,lose,win,2,min_max,max_score,0.04694533348083496,0.0
13,35,31,72,103,4,6,lose,win,5,min_max,max_score,0.019242286682128906,0.0
21,27,51,52,103,4,6,lose,win,1,min_max,max_score,0.009937286376953125,0.0
25,23,51,58,109,4,6,win,lose,2,min_max,max_score,0.006470680236816406,0.0
22,26,54,55,109,4,6,lose,win,5,min_max,max_score,0.0065081119537353516,0.0
12,36,30,77,107,4,6,lose,win,5,min_max,max_score,0.02650928497314453,0.0
23,25,57,57,114,4,6,lose,win,3,min_max,max_score,0.00652623176574707,0.0
14,34,30,71,101,4,6,lose,win,4,min_max,max_score,0.0825192928314209,0.0
14,34,39,68,107,4,6,lose,win,4,min_max,max_score,0.07973194122314453,0.0
15,33,31,62,93,4,6,lose,win,4,min_max,max_score,0.0814812183380127,0.0
16,32,44,54,98,4,6,lose,win,6,min_max,max_score,0.012154102325439453,0.0
14,34,36,72,108,4,6,lose,win,5,min_max,max_score,0.046746253967285156,0.0
15,33,45,60,105,4,6,lose,win,1,min_max,max_score,0.013003826141357422,0.0
21,27,42,60,102,4,6,lose,win,2,min_max,max_score,0.007753133773803711,0.0
23,25,66,52,118,4,6,lose,win,1,min_max,max_score,0.006937503814697266,0.0
17,31,45,72,117,4,6,lose,win,1,min_max,max_score,0.009081840515136719,0.0
13,35,28,72,100,4,6,lose,win,5,min_max,max_score,0.02167987823486328,0.0
