player_1_score,player_2_score,player_1_moves,player_2_moves,total_moves,n_start_marbles,n_cups,player_1_result,player_2_result,first_move,player_one_strategy,player_two_strategy,game_run_time,depth
23,25,57,57,114,4,6,lose,win,4,min_max,min_max,0.0044689178466796875,0.0
27,21,71,64,135,4,6,win,lose,1,min_max,min_max,0.004693031311035156,0.0
20,28,62,75,137,4,6,lose,win,1,min_max,min_max,0.005063533782958984,0.0
28,20,63,52,115,4,6,win,lose,6,min_max,min_max,0.004697561264038086,0.0
29,19,76,42,118,4,6,win,lose,6,min_max,min_max,0.005216836929321289,0.0
29,19,73,54,127,4,6,win,lose,1,min_max,min_max,0.005456209182739258,0.0
24,24,47,54,101,4,6,draw,draw,3,min_max,min_max,0.004140377044677734,0.0
29,19,75,41,116,4,6,win,lose,1,min_max,min_max,0.004479646682739258,0.0
26,22,50,48,98,4,6,win,lose,3,min_max,min_max,0.004036664962768555,0.0
26,22,77,59,136,4,6,win,lose,5,min_max,min_max,0.004956722259521484,0.0
22,26,53,64,117,4,6,lose,win,4,min_max,min_max,0.005069732666015625,0.0
27,21,61,52,113,4,6,win,lose,3,min_max,min_max,0.005261421203613281,0.0
17,31,44,77,121,4,6,lose,win,3,min_max,min_max,0.00527644157409668,0.0
31,17,75,47,122,4,6,win,lose,2,min_max,min_max,0.005759000778198242,0.0
27,21,70,37,107,4,6,win,lose,2,min_max,min_max,0.004726886749267578,0.0
24,24,51,44,95,4,6,draw,draw,3,min_max,min_max,0.004157543182373047,0.0
25,23,62,65,127,4,6,win,lose,5,min_max,min_max,0.004918336868286133,0.0
24,24,71,55,126,4,6,draw,draw,2,min_max,min_max,0.005322694778442383,0.0
29,19,69,56,125,4,6,win,lose,4,min_max,min_max,0.004671812057495117,0.0
26,22,67,61,128,4,6,win,lose,6,min_max,min_max,0.004884958267211914,0.0
25,23,67,54,121,4,6,win,lose,2,min_max,min_max,0.004940032958984375,0.0
27,21,62,52,114,4,6,win,lose,1,min_max,min_max,0.0046539306640625,0.0
27,21,68,52,120,4,6,win,lose,2,min_max,min_max,0.004206180572509766,0.0
32,16,74,46,120,4,6,win,lose,4,min_max,min_max,0.004770040512084961,0.0
30,18,76,48,124,4,6,win,lose,1,min_max,min_max,0.005326509475708008,0.0
26,22,59,33,92,4,6,win,lose,2,min_max,min_max,0.0034399032592773438,0.0
15,33,42,48,90,4,6,lose,win,1,min_max,min_max,0.0032825469970703125,0.0
28,20,70,54,124,4,6,win,lose,4,min_max,min_max,0.004077911376953125,0.0
31,17,81,45,126,4,6,win,lose,4,min_max,min_max,0.005096912384033203,0.0
25,23,66,45,111,4,6,win,lose,5,min_max,min_max,0.004145383834838867,0.0
21,27,46,72,118,4,6,lose,win,5,min_max,min_max,0.004065036773681641,0.0
37,11,29,21,50,4,6,win,lose,3,min_max,min_max,0.0017898082733154297,0.0
30,18,79,53,132,4,6,win,lose,2,min_max,min_max,0.0055196285247802734,0.0
23,25,65,66,131,4,6,lose,win,3,min_max,min_max,0.0055353641510009766,0.0
24,24,49,64,113,4,6,draw,draw,4,min_max,min_max,0.005420684814453125,0.0
22,26,41,67,108,4,6,lose,win,2,min_max,min_max,0.006393909454345703,0.0
29,19,65,43,108,4,6,win,lose,2,min_max,min_max,0.02550983428955078,1.0
25,23,64,54,118,4,6,win,lose,1,min_max,min_max,0.02303457260131836,1.0
31,17,80,39,119,4,6,win,lose,2,min_max,min_max,0.018953800201416016,1.0
29,19,65,47,112,4,6,win,lose,2,min_max,min_max,0.018936872482299805,1.0
26,22,57,54,111,4,6,win,lose,5,min_max,min_max,0.01777935028076172,1.0
27,21,55,55,110,4,6,win,lose,5,min_max,min_max,0.016722917556762695,1.0
31,17,77,47,124,4,6,win,lose,3,min_max,min_max,0.018154382705688477,1.0
31,17,67,45,112,4,6,win,lose,2,min_max,min_max,0.014513969421386719,1.0
16,32,42,80,122,4,6,lose,win,4,min_max,min_max,0.016179800033569336,1.0
27,21,63,47,110,4,6,win,lose,5,min_max,min_max,0.013318061828613281,1.0
17,31,36,70,106,4,6,lose,win,4,min_max,min_max,0.015627145767211914,1.0
20,28,46,61,107,4,6,lose,win,4,min_max,min_max,0.015980005264282227,1.0
26,22,58,50,108,4,6,win,lose,3,min_max,min_max,0.01518702507019043,1.0
25,23,59,58,117,4,6,win,lose,1,min_max,min_max,0.01610279083251953,1.0
33,15,84,40,124,4,6,win,lose,2,min_max,min_max,0.015281200408935547,1.0
33,15,75,36,111,4,6,win,lose,3,min_max,min_max,0.015301227569580078,1.0
33,15,79,37,116,4,6,win,lose,5,min_max,min_max,0.01808023452758789,1.0
34,14,84,36,120,4,6,win,lose,2,min_max,min_max,0.01574993133544922,1.0
32,16,74,40,114,4,6,win,lose,6,min_max,min_max,0.01648259162902832,1.0
25,23,64,53,117,4,6,win,lose,6,min_max,min_max,0.01624464988708496,1.0
25,23,49,47,96,4,6,win,lose,2,min_max,min_max,0.01563549041748047,1.0
28,20,67,37,104,4,6,win,lose,2,min_max,min_max,0.014814138412475586,1.0
29,19,61,43,104,4,6,win,lose,3,min_max,min_max,0.016567230224609375,1.0
31,17,80,38,118,4,6,win,lose,6,min_max,min_max,0.015662670135498047,1.0
